CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Jamestown-Dunkirk-Fredonia, NY",27460,30/01/2022,36.0,Good,Ozone,36-013-0006,1
"Columbus, GA-AL",17980,1/08/2022,34.0,Good,PM2.5,13-215-0008,1
"Minot, ND",33500,23/02/2022,32.0,Good,Ozone,38-101-0003,1
"Gettysburg, PA",23900,17/07/2022,41.0,Good,PM2.5,42-001-0001,2
"Americus, GA",11140,3/05/2022,42.0,Good,,13-261-1001,1
"Atlanta-Sandy Springs-Roswell, GA",12060,9/03/2022,30.0,Good,Ozone,13-097-0004,13
"Gillette, WY",23940,1/05/2022,44.0,Good,Ozone,56-005-0123,21
"Lafayette, LA",29180,10/04/2022,67.0,Moderate,Ozone,22-099-0001,2
"Cambridge, MD",15700,19/06/2022,40.0,Good,Ozone,24-019-9991,2
"Eau Claire, WI",20740,18/02/2022,28.0,Good,PM2.5,55-035-0014,1
"Red Bluff, CA",39780,12/01/2022,48.0,Good,PM2.5,06-103-0007,1
"Owensboro, KY",36980,6/03/2022,36.0,Good,Ozone,21-091-0012,2
"Fernley, NV",22280,2/06/2022,41.0,Good,Ozone,32-019-0006,1
"Syracuse, NY",45060,29/06/2022,41.0,Good,Ozone,36-075-0003,2
"Wenatchee, WA",48300,24/03/2022,14.0,Good,PM2.5,53-007-0011,3
"Baraboo, WI",12660,7/07/2022,44.0,Good,Ozone,55-111-0007,1
"Corsicana, TX",18620,28/04/2022,43.0,Good,Ozone,48-349-1051,1
"Lake City, FL",29380,15/06/2022,42.0,Good,Ozone,12-023-0002,1
"Davenport-Moline-Rock Island, IA-IL",19340,31/05/2022,44.0,Good,,19-163-0015,4
"Watertown, SD",47980,28/02/2022,29.0,Good,Ozone,46-029-0002,1
"Waterloo-Cedar Falls, IA",47940,13/03/2022,43.0,Good,Ozone,19-017-0011,2
"Lakeland-Winter Haven, FL",29460,25/06/2022,48.0,Good,Ozone,12-105-6005,2
"Cadillac, MI",15620,17/05/2022,41.0,Good,Ozone,26-165-9991,2
"Monroe, LA",33740,14/04/2022,13.0,Good,PM2.5,22-073-0004,1
"Gulfport-Biloxi-Pascagoula, MS",25060,24/08/2022,20.0,Good,Ozone,28-059-0006,3
"Raleigh, NC",39580,6/06/2022,74.0,Moderate,Ozone,37-183-0014,3
"Springfield, MA",44140,25/05/2022,45.0,Good,Ozone,25-013-0008,3
"Grand Island, NE",24260,10/05/2022,26.0,Good,,31-079-0005,1
"Wabash, IN",47340,2/03/2022,42.0,Good,Ozone,18-169-9991,1
"Greensboro-High Point, NC",24660,24/05/2022,30.0,Good,Ozone,37-157-0099,2
"Dallas-Fort Worth-Arlington, TX",19100,14/04/2022,51.0,Moderate,Ozone,48-439-0075,24
"McAllen-Edinburg-Mission, TX",32580,12/02/2022,36.0,Good,Ozone,48-215-0043,1
"Boulder, CO",14500,2/05/2022,39.0,Good,Ozone,08-013-0014,3
"Portland-South Portland, ME",38860,21/07/2022,58.0,Moderate,Ozone,23-031-0040,5
